source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
110,1.835167,True,Squash-Line-Calling,0.428112,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
111,1.851850,True,Squash-Line-Calling,0.603142,1628.000,577.000,12.000,10.000,1622.000,572.000,1634.000,582.000
112,1.868533,True,Squash-Line-Calling,0.523578,1623.000,568.000,10.000,12.000,1618.000,562.000,1628.000,574.000
113,1.885217,True,Squash-Line-Calling,0.662486,1617.000,561.000,10.000,10.000,1612.000,556.000,1622.000,566.000
114,1.901900,True,Squash-Line-Calling,0.466672,1579.000,652.000,22.000,20.000,1568.000,642.000,1590.000,662.000
115,1.918583,True,Squash-Line-Calling,0.437014,1606.000,551.000,12.000,10.000,1600.000,546.000,1612.000,556.000
116,1.935267,True,Squash-Line-Calling,0.420890,1599.000,546.000,10.000,12.000,1594.000,540.000,1604.000,552.000
117,1.951950,True,Squash-Line-Calling,0.434575,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
118,1.968633,True,Squash-Line-Calling,0.669195,1879.000,901.000,14.000,14.000,1872.000,894.000,1886.000,908.000
119,1.985317,True,Squash-Line-Calling,0.691027,1859.000,884.000,14.000,16.000,1852.000,876.000,1866.000,892.000
120,2.002000,True,Squash-Line-Calling,0.603300,1838.000,869.000,16.000,14.000,1830.000,862.000,1846.000,876.000
121,2.018683,True,Squash-Line-Calling,0.413387,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
122,2.035367,True,Squash-Line-Calling,0.433683,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
123,2.052050,True,Squash-Line-Calling,0.513523,1782.000,833.000,12.000,14.000,1776.000,826.000,1788.000,840.000
124,2.068733,True,Squash-Line-Calling,0.410835,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
125,2.085417,True,Squash-Line-Calling,0.535645,1750.000,816.000,12.000,12.000,1744.000,810.000,1756.000,822.000
126,2.102100,True,Squash-Line-Calling,0.378680,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
127,2.118783,True,Squash-Line-Calling,0.643613,1717.000,803.000,10.000,10.000,1712.000,798.000,1722.000,808.000
128,2.135467,True,Squash-Line-Calling,0.424198,1703.000,797.000,10.000,10.000,1698.000,792.000,1708.000,802.000
